date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
7/1/2020,Egypt,69814,1503,47899,3034,81
7/2/2020,Egypt,71299,1485,48891,3120,86
7/3/2020,Egypt,72711,1412,49820,3201,81
7/4/2020,Egypt,74035,1324,50652,3280,79
7/5/2020,Egypt,75253,1218,51184,3343,63
7/6/2020,Egypt,76222,969,51562,3422,79
7/7/2020,Egypt,77279,1057,52072,3489,67
7/8/2020,Egypt,78304,1025,52499,3564,75
7/9/2020,Egypt,79254,950,52884,3617,53
7/10/2020,Egypt,80235,981,53259,3702,85
7/11/2020,Egypt,81158,923,53513,3769,67
7/12/2020,Egypt,82070,912,53793,3858,89
7/13/2020,Egypt,83001,931,54091,3935,77
7/14/2020,Egypt,83930,929,54378,4008,73
7/15/2020,Egypt,84843,913,54641,4067,59
7/16/2020,Egypt,85771,928,54960,4120,53
7/17/2020,Egypt,86474,703,54984,4188,68
7/18/2020,Egypt,87172,698,55053,4251,63
7/19/2020,Egypt,87775,603,55093,4302,51
7/20/2020,Egypt,88402,627,55126,4352,50
7/21/2020,Egypt,89078,676,55206,4399,47
7/22/2020,Egypt,89745,667,55230,4440,41
7/23/2020,Egypt,90413,668,54867,4480,40
7/24/2020,Egypt,91072,659,54584,4518,38
7/25/2020,Egypt,91583,511,54122,4558,40
7/26/2020,Egypt,92062,479,53625,4606,48
7/27/2020,Egypt,92482,420,52992,4652,46
7/28/2020,Egypt,92947,465,52297,4691,39
7/29/2020,Egypt,93356,409,51603,4728,37
7/30/2020,Egypt,93757,401,50747,4774,46
7/31/2020,Egypt,94078,321,49635,4805,31
8/1/2020,Egypt,94316,238,48345,4834,29
8/2/2020,Egypt,94483,167,47163,4865,31
8/3/2020,Egypt,94640,157,45686,4888,23
8/4/2020,Egypt,94752,112,44271,4912,24
8/5/2020,Egypt,94875,123,42763,4930,18
8/6/2020,Egypt,95006,131,41157,4951,21
8/7/2020,Egypt,95147,141,39623,4971,20
8/8/2020,Egypt,95314,167,38650,4992,21
8/9/2020,Egypt,95492,178,37805,5009,17
8/10/2020,Egypt,95666,174,36852,5035,26
8/11/2020,Egypt,95834,168,35887,5059,24
8/12/2020,Egypt,95963,129,34977,5085,26
8/13/2020,Egypt,96108,145,34111,5107,22
8/14/2020,Egypt,96220,112,33238,5124,17
