date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
7/1/2020,USA,2832814,54320,1357485,131960,693
7/2/2020,USA,2893044,60230,1388655,132630,670
7/3/2020,USA,2954401,61357,1427933,133267,637
7/4/2020,USA,3005704,51303,1454191,133562,295
7/5/2020,USA,3053032,47328,1472349,133831,269
7/6/2020,USA,3106004,52972,1492943,134234,403
7/7/2020,USA,3165272,59268,1521117,135229,995
7/8/2020,USA,3230388,65116,1548891,136145,916
7/9/2020,USA,3294926,64538,1576863,137120,975
7/10/2020,USA,3369870,74944,1617817,137997,877
7/11/2020,USA,3435904,66034,1654366,138748,751
7/12/2020,USA,3495577,59673,1685446,139165,417
7/13/2020,USA,3559911,64334,1716453,139644,479
7/14/2020,USA,3630041,70130,1736276,140601,957
7/15/2020,USA,3704677,74636,1761302,141637,1036
7/16/2020,USA,3780097,75420,1801396,142638,1001
7/17/2020,USA,3857224,77127,1817020,143612,974
7/18/2020,USA,3922296,65072,1847095,144440,828
7/19/2020,USA,3988390,66094,1888091,144902,462
7/20/2020,USA,4050743,62353,1902347,145462,560
7/21/2020,USA,4121116,70373,1934829,146635,1173
7/22/2020,USA,4195644,74528,1947051,147882,1247
7/23/2020,USA,4266557,70913,1977353,149063,1181
7/24/2020,USA,4346213,79656,2006778,150269,1206
7/25/2020,USA,4416183,69970,2037309,151194,925
7/26/2020,USA,4472979,56796,2062982,151695,501
7/27/2020,USA,4533383,60404,2077472,152304,609
7/28/2020,USA,4600770,67387,2088839,153628,1324
7/29/2020,USA,4668017,67247,2096771,155100,1472
7/30/2020,USA,4737448,69431,2121641,156967,1867
7/31/2020,USA,4810868,73420,2150892,158395,1428
8/1/2020,USA,4871130,60262,2171755,159466,1071
8/2/2020,USA,4921737,50607,2201604,159920,454
8/3/2020,USA,4970315,48578,2182105,160525,605
8/4/2020,USA,5027460,57145,2201868,161943,1418
8/5/2020,USA,5084461,57001,2192780,163281,1338
8/6/2020,USA,5144138,59677,2213493,164520,1239
8/7/2020,USA,5208469,64331,2234522,165880,1360
8/8/2020,USA,5267166,58697,2267740,166914,1034
8/9/2020,USA,5316213,49047,2288504,167473,559
8/10/2020,USA,5364495,48282,2284338,168047,574
8/11/2020,USA,5421646,57151,2298538,169535,1488
8/12/2020,USA,5478668,57022,2292505,170989,1454
8/13/2020,USA,5533338,54670,2311906,172287,1298
8/14/2020,USA,5595476,62138,2337365,173469,1182
8/15/2020,USA,5650022,54546,2356793,174575,1106
8/16/2020,USA,5688819,38797,2372676,175130,555
8/17/2020,USA,5729135,40316,2364326,175723,593
8/18/2020,USA,5774598,45463,2369343,177102,1379
8/19/2020,USA,5820467,45869,2359352,178394,1292
8/20/2020,USA,5867122,46655,2368062,179469,1075
8/21/2020,USA,5919826,52704,2384475,180634,1165
8/22/2020,USA,5964223,44397,2404241,181666,1032
8/23/2020,USA,6000258,36035,2418066,182150,484
8/24/2020,USA,6039454,39196,2405083,182639,489
8/25/2020,USA,6082649,43195,2407869,183903,1264
8/26/2020,USA,6127003,44354,2387029,185221,1318
8/27/2020,USA,6172881,45878,2394241,186365,1144
8/28/2020,USA,6222917,50036,2412590,187476,1111
8/29/2020,USA,6268094,45177,2421446,188445,969
8/30/2020,USA,6303828,35734,2437633,188843,398
8/31/2020,USA,6340184,36356,2443257,189389,546
9/1/2020,USA,6383914,43730,2443259,190554,1165
9/2/2020,USA,6426471,42557,2431545,191654,1100
9/3/2020,USA,6472356,45885,2444940,192771,1117
9/4/2020,USA,6526092,53736,2416260,193816,1045
9/5/2020,USA,6569219,43127,2427302,194529,713
9/6/2020,USA,6602583,33364,2439950,194997,468
9/7/2020,USA,6627399,24816,2430206,195300,303
9/8/2020,USA,6656104,28705,2419751,195782,482
9/9/2020,USA,6694246,38142,2404128,196975,1193
9/10/2020,USA,6734645,40399,2408124,198048,1073
9/11/2020,USA,6782382,47737,2415507,199167,1119
9/12/2020,USA,6823032,40650,2421416,199884,717
9/13/2020,USA,6856184,33152,2428566,200320,436
9/14/2020,USA,6892441,36257,2410314,200801,481
9/15/2020,USA,6931838,39397,2407511,201976,1175
9/16/2020,USA,6973232,41394,2392166,202993,1017
9/17/2020,USA,7020776,47544,2401868,203891,898
9/18/2020,USA,7071386,50610,2413377,204825,934
9/19/2020,USA,7116532,45146,2423841,205510,685
9/20/2020,USA,7151079,34547,2430575,205835,325
9/21/2020,USA,7186425,35346,2416164,206216,381
9/22/2020,USA,7224298,37873,2405795,207189,973
9/23/2020,USA,7266633,42335,2391580,208315,1126
9/24/2020,USA,7313260,46627,2397408,209238,923
9/25/2020,USA,7365254,51994,2404115,210134,896
