date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
7/1/2020,Viet Nam,355,0,19,0,0
7/2/2020,Viet Nam,355,0,15,0,0
7/3/2020,Viet Nam,355,0,15,0,0
7/4/2020,Viet Nam,355,0,15,0,0
7/5/2020,Viet Nam,355,0,15,0,0
7/6/2020,Viet Nam,369,14,28,0,0
7/7/2020,Viet Nam,369,0,27,0,0
7/8/2020,Viet Nam,369,0,22,0,0
7/9/2020,Viet Nam,369,0,22,0,0
7/10/2020,Viet Nam,369,0,19,0,0
7/11/2020,Viet Nam,370,1,20,0,0
7/12/2020,Viet Nam,372,2,22,0,0
7/13/2020,Viet Nam,372,0,22,0,0
7/14/2020,Viet Nam,373,1,21,0,0
7/15/2020,Viet Nam,381,8,28,0,0
7/16/2020,Viet Nam,381,0,25,0,0
7/17/2020,Viet Nam,382,1,26,0,0
7/18/2020,Viet Nam,382,0,25,0,0
7/19/2020,Viet Nam,383,1,26,0,0
7/20/2020,Viet Nam,384,1,24,0,0
7/21/2020,Viet Nam,401,17,36,0,0
7/22/2020,Viet Nam,408,7,43,0,0
7/23/2020,Viet Nam,412,4,47,0,0
7/24/2020,Viet Nam,413,1,48,0,0
7/25/2020,Viet Nam,417,4,52,0,0
7/26/2020,Viet Nam,420,3,55,0,0
7/27/2020,Viet Nam,431,11,66,0,0
7/28/2020,Viet Nam,446,15,77,0,0
7/29/2020,Viet Nam,459,13,90,0,0
7/30/2020,Viet Nam,509,50,140,0,0
7/31/2020,Viet Nam,546,37,171,2,2
8/1/2020,Viet Nam,590,44,214,3,1
8/2/2020,Viet Nam,620,30,241,6,3
8/3/2020,Viet Nam,652,32,272,6,0
8/4/2020,Viet Nam,672,20,286,8,2
8/5/2020,Viet Nam,717,45,328,8,0
8/6/2020,Viet Nam,747,30,345,10,2
8/7/2020,Viet Nam,789,42,384,10,0
8/8/2020,Viet Nam,812,23,407,10,0
8/9/2020,Viet Nam,841,29,435,11,1
8/10/2020,Viet Nam,847,6,433,15,4
8/11/2020,Viet Nam,866,19,451,16,1
8/12/2020,Viet Nam,883,17,457,17,1
8/13/2020,Viet Nam,911,28,465,21,4
8/14/2020,Viet Nam,930,19,471,22,1
8/15/2020,Viet Nam,951,21,481,23,1
8/16/2020,Viet Nam,962,11,482,24,1
8/17/2020,Viet Nam,983,21,492,24,0
8/18/2020,Viet Nam,989,6,438,25,1
8/19/2020,Viet Nam,994,5,436,25,0
8/20/2020,Viet Nam,1007,13,440,25,0
8/21/2020,Viet Nam,1009,2,439,25,0
8/22/2020,Viet Nam,1014,5,425,26,1
8/23/2020,Viet Nam,1016,2,426,27,1
8/24/2020,Viet Nam,1022,6,408,27,0
8/25/2020,Viet Nam,1029,7,410,27,0
8/26/2020,Viet Nam,1034,5,373,29,2
8/27/2020,Viet Nam,1036,2,369,30,1
8/28/2020,Viet Nam,1038,2,345,30,0
8/29/2020,Viet Nam,1040,2,331,32,2
8/30/2020,Viet Nam,1040,0,313,32,0
8/31/2020,Viet Nam,1044,4,303,34,2
9/1/2020,Viet Nam,1044,0,275,34,0
9/2/2020,Viet Nam,1046,2,266,34,0
9/3/2020,Viet Nam,1046,0,256,35,1
9/4/2020,Viet Nam,1049,3,242,35,0
9/5/2020,Viet Nam,1049,0,209,35,0
9/6/2020,Viet Nam,1049,0,199,35,0
9/7/2020,Viet Nam,1049,0,161,35,0
9/8/2020,Viet Nam,1054,5,151,35,0
9/9/2020,Viet Nam,1059,5,134,35,0
9/10/2020,Viet Nam,1059,0,131,35,0
9/11/2020,Viet Nam,1060,1,123,35,0
9/12/2020,Viet Nam,1060,0,115,35,0
9/13/2020,Viet Nam,1063,3,110,35,0
9/14/2020,Viet Nam,1063,0,102,35,0
9/15/2020,Viet Nam,1063,0,97,35,0
9/16/2020,Viet Nam,1063,0,92,35,0
9/17/2020,Viet Nam,1066,3,91,35,0
9/18/2020,Viet Nam,1068,2,92,35,0
9/19/2020,Viet Nam,1068,0,91,35,0
9/20/2020,Viet Nam,1068,0,91,35,0
9/21/2020,Viet Nam,1068,0,86,35,0
9/22/2020,Viet Nam,1068,0,76,35,0
9/23/2020,Viet Nam,1069,1,43,35,0
9/24/2020,Viet Nam,1069,0,43,35,0
9/25/2020,Viet Nam,1069,0,35,35,0
9/26/2020,Viet Nam,1069,0,35,35,0
9/27/2020,Viet Nam,1074,5,40,35,0
9/28/2020,Viet Nam,1077,3,43,35,0
9/29/2020,Viet Nam,1094,17,52,35,0
9/30/2020,Viet Nam,1094,0,49,35,0
10/1/2020,Viet Nam,1095,1,50,35,0
10/2/2020,Viet Nam,1096,1,41,35,0
10/3/2020,Viet Nam,1096,0,41,35,0
10/4/2020,Viet Nam,1096,0,41,35,0
10/5/2020,Viet Nam,1097,1,40,35,0
10/6/2020,Viet Nam,1098,1,40,35,0
10/7/2020,Viet Nam,1099,1,41,35,0
10/8/2020,Viet Nam,1100,1,42,35,0
10/9/2020,Viet Nam,1105,5,46,35,0
10/10/2020,Viet Nam,1107,2,48,35,0
10/11/2020,Viet Nam,1109,2,50,35,0
10/12/2020,Viet Nam,1110,1,50,35,0
10/13/2020,Viet Nam,1113,3,53,35,0
10/14/2020,Viet Nam,1122,9,58,35,0
10/15/2020,Viet Nam,1124,2,59,35,0
10/16/2020,Viet Nam,1124,0,58,35,0
10/17/2020,Viet Nam,1126,2,60,35,0
10/18/2020,Viet Nam,1134,8,68,35,0
10/19/2020,Viet Nam,1140,6,59,35,0
10/20/2020,Viet Nam,1141,1,60,35,0
10/21/2020,Viet Nam,1144,3,63,35,0
10/22/2020,Viet Nam,1148,4,64,35,0
10/23/2020,Viet Nam,1148,0,64,35,0
10/24/2020,Viet Nam,1160,12,74,35,0
10/25/2020,Viet Nam,1168,8,76,35,0
10/26/2020,Viet Nam,1169,1,73,35,0
10/27/2020,Viet Nam,1172,3,75,35,0
10/28/2020,Viet Nam,1173,1,76,35,0
