date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
7/1/2020,Italy,240781,182,15122,34942,21
7/2/2020,Italy,240982,201,14927,34972,30
7/3/2020,Italy,241205,223,14751,34987,15
7/4/2020,Italy,241440,235,14488,35008,21
7/5/2020,Italy,241632,192,14509,35015,7
7/6/2020,Italy,241840,208,14576,35023,8
7/7/2020,Italy,241977,137,14109,35053,30
7/8/2020,Italy,242170,193,13462,35068,15
7/9/2020,Italy,242384,214,13326,35080,12
7/10/2020,Italy,242660,276,13295,35092,12
7/11/2020,Italy,242848,188,13170,35099,7
7/12/2020,Italy,243082,234,13046,35108,9
7/13/2020,Italy,243251,169,13024,35121,13
7/14/2020,Italy,243365,114,12786,35138,17
7/15/2020,Italy,243527,162,12360,35151,13
7/16/2020,Italy,243757,230,12340,35171,20
7/17/2020,Italy,243988,231,12323,35182,11
7/18/2020,Italy,244237,249,12235,35196,14
7/19/2020,Italy,244455,218,12307,35199,3
7/20/2020,Italy,244645,190,12271,35212,13
7/21/2020,Italy,244773,128,12115,35227,15
7/22/2020,Italy,245053,280,12189,35236,9
7/23/2020,Italy,245359,306,12271,35246,10
7/24/2020,Italy,245611,252,12168,35251,5
7/25/2020,Italy,245884,273,12308,35256,5
7/26/2020,Italy,246136,252,12429,35261,5
7/27/2020,Italy,246306,170,12447,35266,5
7/28/2020,Italy,246487,181,12454,35277,11
7/29/2020,Italy,246776,289,12462,35283,6
7/30/2020,Italy,247158,382,12076,35286,3
7/31/2020,Italy,247537,379,12268,35295,9
8/1/2020,Italy,247832,295,12303,35300,5
8/2/2020,Italy,248070,238,12302,35308,8
8/3/2020,Italy,248229,159,12320,35320,12
8/4/2020,Italy,248419,190,12328,35325,5
8/5/2020,Italy,248803,384,12492,35335,10
8/6/2020,Italy,249204,401,12540,35341,6
8/7/2020,Italy,249756,552,12770,35344,3
8/8/2020,Italy,250103,347,12799,35357,13
8/9/2020,Italy,250566,463,13109,35359,2
8/10/2020,Italy,250825,259,13214,35363,4
8/11/2020,Italy,251237,412,13407,35369,6
8/12/2020,Italy,251713,476,13637,35379,10
8/13/2020,Italy,252235,522,13927,35385,6
8/14/2020,Italy,252809,574,14095,35388,3
8/15/2020,Italy,253436,627,14404,35392,4
